"Date","Price","Open","High","Low","Vol.","Change %"
"01-07-2024","24,313.10","24,022.60","24,428.15","24,007.05","1,907.71B","1.26%"
"01-06-2024","24,010.60","23,337.90","24,174.00","21,281.45","7,751.10B","6.57%"
"01-05-2024","22,530.70","22,567.85","23,110.80","21,821.05","6,710.59B","-0.33%"
"01-04-2024","22,604.85","22,455.00","22,783.35","21,777.65","6,277.66B","1.24%"
"01-03-2024","22,326.90","22,048.30","22,526.60","21,710.20","6,735.78B","1.57%"
"01-02-2024","21,982.80","21,780.65","22,297.50","21,530.20","6,728.16B","1.18%"
"01-01-2024","21,725.70","21,727.75","22,124.15","21,137.20","6,824.38B","-0.03%"
"01-12-2023","21,731.40","20,194.10","21,801.45","20,183.70","6,121.37B","7.94%"
"01-11-2023","20,133.15","19,064.05","20,158.70","18,973.70","4,423.32B","5.52%"
"01-10-2023","19,079.60","19,622.40","19,849.75","18,837.85","4,248.51B","-2.84%"
"01-09-2023","19,638.30","19,258.15","20,222.45","19,255.70","5,666.41B","2.00%"
"01-08-2023","19,253.80","19,784.00","19,795.60","19,223.65","6,253.99B","-2.53%"
"01-07-2023","19,753.80","19,246.50","19,991.85","19,234.40","5,802.27B","2.94%"
"01-06-2023","19,189.05","18,579.40","19,201.70","18,464.55","5,144.19B","3.53%"
"01-05-2023","18,534.40","18,124.80","18,662.45","18,042.40","5,737.40B","2.60%"
"01-04-2023","18,065.00","17,427.95","18,089.15","17,312.75","4,459.76B","4.06%"
"01-03-2023","17,359.75","17,360.10","17,799.95","16,828.35","5,622.28B","0.32%"
"01-02-2023","17,303.95","17,811.60","18,134.75","17,255.20","5,685.63B","-2.03%"
"01-01-2023","17,662.15","18,131.70","18,251.95","17,405.55","5,632.81B","-2.45%"
"01-12-2022","18,105.30","18,871.95","18,887.60","17,774.25","4,741.44B","-3.48%"
"01-11-2022","18,758.35","18,130.70","18,816.05","17,959.20","5,257.00B","4.14%"
"01-10-2022","18,012.20","17,102.10","18,022.80","16,855.55","4,539.96B","5.37%"
