"Date","Price","Open","High","Low","Change %"
"01-07-2024","6.780","6.830","6.850","6.730","-0.73%"
"01-06-2024","6.830","6.880","6.900","6.810","-0.87%"
"01-05-2024","6.890","6.990","7.030","6.840","-1.71%"
"01-04-2024","7.010","6.980","7.010","6.820","-0.14%"
"01-03-2024","7.020","7.020","7.020","7.020","1.89%"
"01-02-2024","6.890","6.890","6.890","6.890","-2.13%"
"01-01-2024","7.040","6.970","7.060","6.890","2.03%"
